pair,order,t_native_ms,t_other_ms,ratio_b_over_a
0,AB,4814.617,4808.648,0.998760
1,BA,4817.065,4806.400,0.997786
2,AB,4828.846,4869.986,1.008520
3,BA,4809.331,4886.889,1.016127
4,AB,4827.623,4815.087,0.997403
5,BA,4880.461,4830.674,0.989799
6,AB,4837.141,4832.637,0.999069
7,BA,4894.647,4820.169,0.984784
8,AB,4924.046,4875.336,0.990108
9,BA,4896.793,4769.631,0.974032
10,AB,4789.350,4767.038,0.995341
11,BA,4774.452,4752.799,0.995465
12,AB,4771.112,4784.240,1.002751
13,BA,4751.821,4758.609,1.001429
14,AB,4740.898,4758.597,1.003733
15,BA,4762.574,4761.004,0.999670
16,AB,4752.604,4730.107,0.995266
17,BA,4736.333,4735.058,0.999731
18,AB,4771.148,4755.210,0.996659
19,BA,4725.801,4729.938,1.000875
20,AB,4736.950,4732.491,0.999059
21,BA,4770.194,4732.689,0.992138
22,AB,4743.255,4743.992,1.000155
23,BA,4745.654,4745.129,0.999889
24,AB,4736.087,4773.848,1.007973
25,BA,4724.842,4735.468,1.002249
26,AB,4751.556,4730.038,0.995471
27,BA,4803.531,4734.975,0.985728
28,AB,4768.079,4783.553,1.003245
29,BA,4747.706,4758.728,1.002321
30,AB,4739.380,4761.848,1.004741
