pair,arm,ns,items,status,pct
1,A,737709,268435456,0,3.2
1,B,3511488,268435456,0,13.3
2,A,765741,268435456,0,3.2
2,B,3479461,268435456,0,13.3
3,A,755421,268435456,0,3.2
3,B,3466938,268435456,0,12.8
4,A,761033,268435456,0,3.3
4,B,3456541,268435456,0,13.3
5,A,781892,268435456,0,3.3
5,B,3459426,268435456,0,13.1
6,A,759734,268435456,0,3.3
6,B,3497052,268435456,0,13.3
7,A,772508,268435456,0,3.3
7,B,3458738,268435456,0,13.4
8,A,746704,268435456,0,3.2
8,B,3456297,268435456,0,13.2
9,A,769393,268435456,0,3.3
9,B,3492233,268435456,0,13.4
10,A,765658,268435456,0,3.2
10,B,3458617,268435456,0,13.2
11,A,757916,268435456,0,3.2
11,B,3481162,268435456,0,13.3
12,A,735263,268435456,0,3.1
12,B,3500385,268435456,0,13.0
13,A,753397,268435456,0,3.2
13,B,3468230,268435456,0,13.2
14,A,750477,268435456,0,3.2
14,B,3479926,268435456,0,13.3
15,A,742661,268435456,0,3.1
15,B,3462511,268435456,0,13.3
16,A,770996,268435456,0,3.3
16,B,3449960,268435456,0,13.3
17,A,754181,268435456,0,3.2
17,B,3468345,268435456,0,13.3
18,A,764498,268435456,0,3.2
18,B,3450339,268435456,0,13.3
19,A,747017,268435456,0,3.2
19,B,3452160,268435456,0,13.2
20,A,739581,268435456,0,3.1
20,B,3460666,268435456,0,13.3
21,A,747080,268435456,0,3.2
21,B,3490575,268435456,0,13.4
22,A,735491,268435456,0,3.1
22,B,3453372,268435456,0,13.2
23,A,862972,268435456,0,3.7
23,B,3457006,268435456,0,13.3
24,A,753405,268435456,0,3.2
24,B,3468448,268435456,0,13.3
25,A,750551,268435456,0,3.2
25,B,3470627,268435456,0,13.2
26,A,758603,268435456,0,3.2
26,B,3480331,268435456,0,13.3
27,A,749355,268435456,0,3.2
27,B,3484539,268435456,0,13.3
28,A,747593,268435456,0,3.2
28,B,3474313,268435456,0,13.3
29,A,771637,268435456,0,3.3
29,B,3492128,268435456,0,13.4
30,A,755418,268435456,0,3.2
30,B,3461724,268435456,0,13.2
31,A,742448,268435456,0,3.2
31,B,3461867,268435456,0,13.2
