pair,arm,ns,items,status,pct
1,A,4034630,268435456,0,15.2
1,B,3465481,268435456,0,13.3
2,A,4069386,268435456,0,15.2
2,B,3518970,268435456,0,12.9
3,A,4058238,268435456,0,15.2
3,B,3467174,268435456,0,13.3
4,A,4059624,268435456,0,15.3
4,B,3456618,268435456,0,13.3
5,A,4055797,268435456,0,15.1
5,B,3466099,268435456,0,13.2
6,A,4122031,268435456,0,15.3
6,B,3466630,268435456,0,13.4
7,A,4050383,268435456,0,15.3
7,B,3445014,268435456,0,13.3
8,A,4046559,268435456,0,15.1
8,B,3469464,268435456,0,13.4
9,A,4056779,268435456,0,15.3
9,B,3468159,268435456,0,13.3
10,A,4062605,268435456,0,15.1
10,B,3454258,268435456,0,13.4
11,A,4077793,268435456,0,15.2
11,B,3470566,268435456,0,13.4
12,A,4051245,268435456,0,15.2
12,B,3501187,268435456,0,13.3
13,A,4031170,268435456,0,15.1
13,B,3470530,268435456,0,13.3
14,A,4037522,268435456,0,15.1
14,B,3463252,268435456,0,13.2
15,A,4044036,268435456,0,15.2
15,B,3466531,268435456,0,13.2
16,A,4049363,268435456,0,15.2
16,B,3451575,268435456,0,13.2
17,A,4032795,268435456,0,15.1
17,B,3473938,268435456,0,13.3
18,A,4150892,268435456,0,15.3
18,B,3468762,268435456,0,13.3
19,A,4072217,268435456,0,15.1
19,B,3457161,268435456,0,13.3
20,A,4060631,268435456,0,15.2
20,B,3477233,268435456,0,13.3
21,A,4037953,268435456,0,15.1
21,B,3468874,268435456,0,13.3
22,A,4049715,268435456,0,15.2
22,B,3509157,268435456,0,13.4
23,A,4047951,268435456,0,15.2
23,B,3452353,268435456,0,13.3
24,A,4059484,268435456,0,15.1
24,B,3479384,268435456,0,13.2
25,A,4070042,268435456,0,15.1
25,B,3481042,268435456,0,13.3
26,A,4044719,268435456,0,15.1
26,B,3471660,268435456,0,13.3
27,A,4065698,268435456,0,15.2
27,B,3450873,268435456,0,13.3
28,A,4031332,268435456,0,15.0
28,B,3494483,268435456,0,13.3
29,A,4044714,268435456,0,15.1
29,B,3454033,268435456,0,13.3
30,A,4092635,268435456,0,15.2
30,B,3452619,268435456,0,13.2
31,A,4061027,268435456,0,15.1
31,B,3461212,268435456,0,13.2
