pair,order,t_native_ms,t_other_ms,ratio_b_over_a
0,AB,4777.321,4849.346,1.015076
1,BA,4812.107,4852.824,1.008461
2,AB,4765.103,4850.047,1.017826
3,BA,4856.589,4972.903,1.023950
4,AB,4746.152,4851.390,1.022173
5,BA,4808.483,4874.042,1.013634
6,AB,4748.924,4850.319,1.021351
7,BA,4759.456,4856.525,1.020395
8,AB,4797.697,4855.261,1.011998
9,BA,4766.754,4845.567,1.016534
10,AB,4746.963,4836.957,1.018958
11,BA,4768.210,4886.578,1.024824
12,AB,4763.269,4845.294,1.017220
13,BA,4787.154,4847.831,1.012675
14,AB,4777.976,4847.818,1.014618
15,BA,4757.006,4847.429,1.019008
16,AB,4759.415,4843.638,1.017696
17,BA,4764.259,4850.350,1.018070
18,AB,4754.589,4853.204,1.020741
19,BA,4748.485,4852.385,1.021881
20,AB,4803.855,4915.970,1.023338
21,BA,4770.600,4862.533,1.019271
22,AB,4769.831,4845.164,1.015794
23,BA,4809.335,4858.276,1.010176
24,AB,4754.284,4843.760,1.018820
25,BA,4757.176,4843.530,1.018152
26,AB,4762.355,4891.578,1.027134
27,BA,4769.649,4851.875,1.017239
28,AB,4760.842,4847.591,1.018221
29,BA,4761.606,4828.601,1.014070
30,AB,4773.829,4839.299,1.013714
