pair,arm,ns,items,status,pct
1,A,4272888,268435456,0,9.2
1,B,4504157,268435456,0,9.5
2,A,4312879,268435456,0,9.2
2,B,4422455,268435456,0,9.6
3,A,4250574,268435456,0,9.3
3,B,4420906,268435456,0,9.6
4,A,4264989,268435456,0,9.3
4,B,4394032,268435456,0,9.5
5,A,4247283,268435456,0,9.3
5,B,4419071,268435456,0,9.6
6,A,4265972,268435456,0,9.3
6,B,4413367,268435456,0,9.6
7,A,4271485,268435456,0,9.3
7,B,4420533,268435456,0,9.5
8,A,4243329,268435456,0,9.2
8,B,4441046,268435456,0,9.4
9,A,4284355,268435456,0,9.2
9,B,4421549,268435456,0,9.5
10,A,4264603,268435456,0,9.3
10,B,4439320,268435456,0,9.6
11,A,4276994,268435456,0,9.3
11,B,4416887,268435456,0,9.5
12,A,4241511,268435456,0,9.2
12,B,4408044,268435456,0,9.5
13,A,4275666,268435456,0,9.2
13,B,4437237,268435456,0,9.5
14,A,4264675,268435456,0,9.2
14,B,4405839,268435456,0,9.5
15,A,4285411,268435456,0,9.3
15,B,4426462,268435456,0,9.6
16,A,4268886,268435456,0,9.3
16,B,4404019,268435456,0,9.5
17,A,4270731,268435456,0,9.3
17,B,4402345,268435456,0,9.5
18,A,4256233,268435456,0,9.2
18,B,4400274,268435456,0,9.5
19,A,4261241,268435456,0,9.3
19,B,4431187,268435456,0,9.5
20,A,4260135,268435456,0,9.3
20,B,4433487,268435456,0,9.5
21,A,4274075,268435456,0,9.2
21,B,4407814,268435456,0,9.5
22,A,4283445,268435456,0,9.3
22,B,4441031,268435456,0,9.6
23,A,4281465,268435456,0,9.3
23,B,4414590,268435456,0,9.6
24,A,4272438,268435456,0,9.3
24,B,4414750,268435456,0,9.6
25,A,4265858,268435456,0,9.3
25,B,4425809,268435456,0,9.6
26,A,4280963,268435456,0,9.3
26,B,4401835,268435456,0,9.5
27,A,4260704,268435456,0,9.2
27,B,4415949,268435456,0,9.6
28,A,4254338,268435456,0,9.3
28,B,4403590,268435456,0,9.5
29,A,4273000,268435456,0,9.3
29,B,4428451,268435456,0,9.6
30,A,4270307,268435456,0,9.3
30,B,4435294,268435456,0,9.6
31,A,4283824,268435456,0,9.3
31,B,4416619,268435456,0,9.5
