pair,arm,ns,items,status,pct
1,A,2852179,268435456,0,2.2
1,B,8208824,268435456,0,6.0
2,A,2848387,268435456,0,2.2
2,B,8223017,268435456,0,6.1
3,A,2815945,268435456,0,2.2
3,B,8232527,268435456,0,6.1
4,A,2838153,268435456,0,2.2
4,B,8196703,268435456,0,6.1
5,A,2838267,268435456,0,2.2
5,B,8201986,268435456,0,6.1
6,A,2825061,268435456,0,2.2
6,B,8207763,268435456,0,6.1
7,A,2802564,268435456,0,2.1
7,B,8228205,268435456,0,6.1
8,A,2803799,268435456,0,2.1
8,B,8249385,268435456,0,6.1
9,A,2813078,268435456,0,2.2
9,B,8214393,268435456,0,6.1
10,A,2846382,268435456,0,2.2
10,B,8200458,268435456,0,6.1
11,A,2859167,268435456,0,2.2
11,B,8227330,268435456,0,6.1
12,A,2826567,268435456,0,2.2
12,B,8191138,268435456,0,6.0
13,A,2836602,268435456,0,2.1
13,B,8219431,268435456,0,6.1
14,A,2817282,268435456,0,2.2
14,B,8214794,268435456,0,6.0
15,A,2865932,268435456,0,2.2
15,B,8226418,268435456,0,6.1
16,A,2818696,268435456,0,2.2
16,B,8210014,268435456,0,6.1
17,A,2821966,268435456,0,2.2
17,B,8262073,268435456,0,6.0
18,A,2829812,268435456,0,2.2
18,B,8208350,268435456,0,6.0
19,A,2825095,268435456,0,2.2
19,B,8257684,268435456,0,6.1
20,A,2874367,268435456,0,2.2
20,B,8230471,268435456,0,6.1
21,A,2843155,268435456,0,2.2
21,B,8310037,268435456,0,6.1
22,A,2854003,268435456,0,2.2
22,B,8234001,268435456,0,6.1
23,A,2814743,268435456,0,2.2
23,B,8233496,268435456,0,6.1
24,A,2822129,268435456,0,2.2
24,B,8277836,268435456,0,6.1
25,A,2890471,268435456,0,2.2
25,B,8220565,268435456,0,6.1
26,A,2839804,268435456,0,2.2
26,B,8246056,268435456,0,6.1
27,A,2865798,268435456,0,2.2
27,B,8211574,268435456,0,6.1
28,A,2821904,268435456,0,2.1
28,B,8226976,268435456,0,6.0
29,A,2842679,268435456,0,2.2
29,B,8217329,268435456,0,6.0
30,A,2844706,268435456,0,2.2
30,B,8382587,268435456,0,6.1
31,A,2823141,268435456,0,2.2
31,B,8484554,268435456,0,6.1
