pair,arm,ns,items,status,pct
1,A,4057625,268435456,0,17.3
1,B,2164827,268435456,0,10.1
2,A,4106364,268435456,0,17.2
2,B,2176649,268435456,0,10.1
3,A,4093350,268435456,0,17.2
3,B,2189675,268435456,0,10.1
4,A,4055100,268435456,0,17.3
4,B,2147569,268435456,0,10.0
5,A,4046494,268435456,0,17.3
5,B,2161520,268435456,0,10.1
6,A,4047039,268435456,0,17.3
6,B,2166190,268435456,0,10.1
7,A,4052948,268435456,0,17.2
7,B,2159243,268435456,0,10.1
8,A,4053510,268435456,0,17.4
8,B,2164995,268435456,0,10.1
9,A,4075585,268435456,0,17.2
9,B,2180746,268435456,0,10.1
10,A,4050731,268435456,0,17.2
10,B,2185494,268435456,0,10.1
11,A,4053083,268435456,0,17.2
11,B,2161576,268435456,0,10.0
12,A,4031800,268435456,0,17.1
12,B,2169149,268435456,0,9.9
13,A,4112830,268435456,0,17.1
13,B,2173290,268435456,0,10.0
14,A,4044378,268435456,0,17.2
14,B,2165801,268435456,0,10.0
15,A,4056897,268435456,0,17.1
15,B,2157269,268435456,0,9.2
16,A,4092620,268435456,0,17.1
16,B,2168281,268435456,0,9.9
17,A,4094309,268435456,0,17.2
17,B,2155860,268435456,0,10.0
18,A,4042755,268435456,0,17.3
18,B,2170793,268435456,0,10.0
19,A,4084592,268435456,0,16.2
19,B,2173366,268435456,0,10.0
20,A,4057314,268435456,0,17.2
20,B,2173752,268435456,0,10.0
21,A,4077640,268435456,0,17.1
21,B,2152254,268435456,0,9.9
22,A,4064422,268435456,0,17.1
22,B,2162421,268435456,0,10.0
23,A,4103638,268435456,0,17.4
23,B,2150539,268435456,0,9.9
24,A,4036955,268435456,0,17.1
24,B,2161136,268435456,0,10.0
25,A,4054676,268435456,0,17.2
25,B,2173585,268435456,0,10.0
26,A,4098678,268435456,0,17.3
26,B,2173756,268435456,0,10.0
27,A,4043535,268435456,0,17.0
27,B,2164994,268435456,0,9.9
28,A,4110953,268435456,0,17.2
28,B,2161480,268435456,0,10.0
29,A,4091948,268435456,0,17.2
29,B,2158030,268435456,0,10.0
30,A,4057511,268435456,0,17.2
30,B,2178967,268435456,0,10.0
31,A,4090856,268435456,0,17.3
31,B,2158471,268435456,0,10.0
