pair,arm,ns,items,status,pct
1,A,299832958,1,0,39.4000
1,B,302054584,1,0,38.2000
2,A,311548125,1,0,39.3000
2,B,297804417,1,0,39.1000
3,A,300188042,1,0,39.4000
3,B,300212416,1,0,38.7000
4,A,301417750,1,0,39.3000
4,B,297268000,1,0,39.0000
5,A,302181084,1,0,39.6000
5,B,298598584,1,0,39.1000
6,A,298599083,1,0,39.4000
6,B,297922083,1,0,38.8000
7,A,299288625,1,0,39.4000
7,B,298889250,1,0,38.6000
8,A,301325208,1,0,39.4000
8,B,296251666,1,0,38.8000
9,A,300113167,1,0,39.9000
9,B,309909625,1,0,37.6000
10,A,301511125,1,0,39.6000
10,B,296427000,1,0,39.1000
11,A,314428750,1,0,38.3000
11,B,302799291,1,0,38.3000
12,A,302986042,1,0,39.4000
12,B,299102834,1,0,38.9000
13,A,317989417,1,0,39.5000
13,B,299223834,1,0,38.9000
14,A,313149083,1,0,38.4000
14,B,297891417,1,0,39.0000
15,A,302692542,1,0,39.3000
15,B,314704917,1,0,37.4000
16,A,301216542,1,0,39.4000
16,B,306315167,1,0,38.0000
17,A,300841708,1,0,39.7000
17,B,299104625,1,0,39.1000
18,A,300967125,1,0,39.7000
18,B,308064875,1,0,37.6000
19,A,301106291,1,0,39.5000
19,B,299488458,1,0,38.9000
20,A,304889958,1,0,39.5000
20,B,298275208,1,0,39.0000
21,A,307354208,1,0,39.5000
21,B,307257875,1,0,37.8000
22,A,304222917,1,0,39.6000
22,B,301643375,1,0,39.0000
23,A,303992583,1,0,39.8000
23,B,300842750,1,0,39.0000
24,A,302346750,1,0,39.5000
24,B,299714042,1,0,39.0000
25,A,311379375,1,0,38.6000
25,B,299429834,1,0,39.0000
26,A,301396208,1,0,39.8000
26,B,299666792,1,0,38.8000
27,A,304491375,1,0,39.3000
27,B,302061000,1,0,38.7000
28,A,315960292,1,0,38.3000
28,B,300594208,1,0,38.9000
29,A,307953250,1,0,39.0000
29,B,301016500,1,0,39.0000
30,A,302782333,1,0,39.4000
30,B,301004667,1,0,39.0000
31,A,303409959,1,0,39.4000
31,B,299554541,1,0,39.0000
