pair,arm,ns,items,status,pct
1,A,821494,268435456,0,1.9
1,B,4416191,268435456,0,9.6
2,A,771859,268435456,0,1.8
2,B,4416331,268435456,0,9.6
3,A,761990,268435456,0,1.8
3,B,4398780,268435456,0,9.5
4,A,782786,268435456,0,1.8
4,B,4412862,268435456,0,9.5
5,A,798011,268435456,0,1.9
5,B,4429531,268435456,0,9.6
6,A,766386,268435456,0,1.8
6,B,4415408,268435456,0,9.6
7,A,807485,268435456,0,1.9
7,B,4418988,268435456,0,9.6
8,A,787322,268435456,0,1.8
8,B,4402903,268435456,0,9.5
9,A,771426,268435456,0,1.8
9,B,4403915,268435456,0,9.5
10,A,796428,268435456,0,1.9
10,B,4434094,268435456,0,9.6
11,A,770730,268435456,0,1.8
11,B,4420581,268435456,0,9.6
12,A,765555,268435456,0,1.8
12,B,4401590,268435456,0,9.6
13,A,768083,268435456,0,1.8
13,B,4410868,268435456,0,9.5
14,A,773128,268435456,0,1.8
14,B,4422416,268435456,0,9.6
15,A,785322,268435456,0,1.8
15,B,4401819,268435456,0,9.5
16,A,796133,268435456,0,1.9
16,B,4408034,268435456,0,9.5
17,A,788991,268435456,0,1.9
17,B,4423718,268435456,0,9.5
18,A,783359,268435456,0,1.8
18,B,4412655,268435456,0,9.6
19,A,797995,268435456,0,1.9
19,B,4424110,268435456,0,9.6
20,A,768733,268435456,0,1.8
20,B,4440958,268435456,0,9.5
21,A,787835,268435456,0,1.8
21,B,4419849,268435456,0,9.5
22,A,758586,268435456,0,1.8
22,B,4396590,268435456,0,9.5
23,A,829706,268435456,0,1.9
23,B,4447765,268435456,0,9.7
24,A,757236,268435456,0,1.8
24,B,4426420,268435456,0,9.5
25,A,782144,268435456,0,1.8
25,B,4418801,268435456,0,9.5
26,A,782163,268435456,0,1.8
26,B,4413979,268435456,0,9.6
27,A,769077,268435456,0,1.8
27,B,4416337,268435456,0,9.5
28,A,772539,268435456,0,1.8
28,B,4412218,268435456,0,9.6
29,A,818493,268435456,0,1.9
29,B,4395287,268435456,0,9.5
30,A,802286,268435456,0,1.8
30,B,4443325,268435456,0,9.6
31,A,765149,268435456,0,1.8
31,B,4435007,268435456,0,9.5
