pair,arm,deposit_ns,pipeline_ns,wall_ns
1,A,111194673,281134763,305994667
1,B,111705538,292405374,316434958
2,A,112222227,282914882,307032917
2,B,111645958,284359335,308677292
3,A,111239691,280126933,304132792
3,B,113103990,284352002,308205666
4,A,110510790,280939157,305050250
4,B,112000197,285613805,316447083
5,A,111119674,280585672,304519000
5,B,111209543,281011443,304789709
6,A,110485453,279249107,302913791
6,B,111757964,282152194,306390542
7,A,110975315,281482391,305660125
7,B,111431931,290625706,314547792
8,A,110948551,280555846,304639334
8,B,110911351,281882786,306133333
9,A,113089828,286438488,310677875
9,B,110757555,280838396,304861125
10,A,111509104,286281817,309890375
10,B,110625770,279593593,303432958
11,A,111453293,282794437,306416209
11,B,111667939,281287934,305429209
12,A,111423684,281288369,305272250
12,B,111984196,282241872,306032166
13,A,111579922,280976716,305136250
13,B,112170326,282888991,306591209
14,A,112431452,295925997,320028666
14,B,111941025,282066015,305601000
15,A,110518678,283180959,307282333
15,B,111894412,283234452,307732542
16,A,110973940,280523953,304665125
16,B,112469214,283628455,307411917
17,A,113157053,286587202,310782875
17,B,111244568,280632856,304271166
18,A,109919292,276926754,300805542
18,B,111427734,279923203,303689209
19,A,110727048,279383845,303273500
19,B,110676752,286810699,310263750
20,A,111676762,282344133,306954500
20,B,110547919,278778535,302744209
21,A,112242611,305724973,330036042
21,B,111452445,281267517,305536792
22,A,111431676,280686309,304345959
22,B,112806064,284511006,308213667
23,A,112100273,294577891,317924000
23,B,111217025,285051347,309031084
24,A,110434508,278994200,302701250
24,B,111309983,281040669,304582416
25,A,111161153,280076065,304093625
25,B,110910525,279827257,303326417
26,A,111410144,290097723,314317125
26,B,111164899,279708288,303165542
27,A,113070807,291044767,315634625
27,B,110380387,278404032,305895625
28,A,111153581,280419859,304275708
28,B,111104380,286166621,310184333
29,A,112400794,282853472,308192500
29,B,110583252,279235674,302996375
30,A,111527371,281995713,305974834
30,B,111784426,296268332,320238417
31,A,111113045,280106933,304331500
31,B,110964098,280055630,303806791
