pair,arm,ns,items,status,pct
1,A,305994667,1,0,39.5000
1,B,316434958,1,0,38.3000
2,A,307032917,1,0,39.6000
2,B,308677292,1,0,39.3000
3,A,304132792,1,0,39.8000
3,B,308205666,1,0,39.7000
4,A,305050250,1,0,39.4000
4,B,316447083,1,0,39.3000
5,A,304519000,1,0,39.4000
5,B,304789709,1,0,39.5000
6,A,302913791,1,0,39.5000
6,B,306390542,1,0,39.5000
7,A,305660125,1,0,39.4000
7,B,314547792,1,0,38.4000
8,A,304639334,1,0,39.4000
8,B,306133333,1,0,39.3000
9,A,310677875,1,0,39.4000
9,B,304861125,1,0,39.4000
10,A,309890375,1,0,38.9000
10,B,303432958,1,0,39.4000
11,A,306416209,1,0,39.4000
11,B,305429209,1,0,39.7000
12,A,305272250,1,0,39.6000
12,B,306032166,1,0,39.8000
13,A,305136250,1,0,39.7000
13,B,306591209,1,0,39.7000
14,A,320028666,1,0,38.1000
14,B,305601000,1,0,39.8000
15,A,307282333,1,0,38.9000
15,B,307732542,1,0,39.4000
16,A,304665125,1,0,39.5000
16,B,307411917,1,0,39.6000
17,A,310782875,1,0,39.4000
17,B,304271166,1,0,39.5000
18,A,300805542,1,0,39.8000
18,B,303689209,1,0,39.9000
19,A,303273500,1,0,39.8000
19,B,310263750,1,0,38.5000
20,A,306954500,1,0,39.6000
20,B,302744209,1,0,39.7000
21,A,330036042,1,0,36.7000
21,B,305536792,1,0,39.7000
22,A,304345959,1,0,39.8000
22,B,308213667,1,0,39.8000
23,A,317924000,1,0,38.1000
23,B,309031084,1,0,38.9000
24,A,302701250,1,0,39.5000
24,B,304582416,1,0,39.6000
25,A,304093625,1,0,39.9000
25,B,303326417,1,0,39.6000
26,A,314317125,1,0,38.3000
26,B,303165542,1,0,39.9000
27,A,315634625,1,0,38.9000
27,B,305895625,1,0,39.7000
28,A,304275708,1,0,39.7000
28,B,310184333,1,0,38.9000
29,A,308192500,1,0,39.7000
29,B,302996375,1,0,39.5000
30,A,305974834,1,0,39.4000
30,B,320238417,1,0,37.8000
31,A,304331500,1,0,39.8000
31,B,303806791,1,0,39.6000
