pair,arm,ns,items,status,pct
1,A,2855182,268435456,0,2.2
1,B,8270351,268435456,0,6.1
2,A,2844764,268435456,0,2.2
2,B,8301873,268435456,0,6.0
3,A,2842963,268435456,0,2.2
3,B,8258983,268435456,0,6.0
4,A,2831127,268435456,0,2.2
4,B,8319999,268435456,0,6.1
5,A,2832424,268435456,0,2.1
5,B,8232329,268435456,0,6.0
6,A,2889647,268435456,0,2.2
6,B,8211685,268435456,0,6.1
7,A,2890229,268435456,0,2.2
7,B,8311981,268435456,0,6.1
8,A,2836999,268435456,0,2.2
8,B,8240628,268435456,0,6.1
9,A,2824194,268435456,0,2.2
9,B,8277758,268435456,0,6.0
10,A,2806772,268435456,0,2.1
10,B,8449915,268435456,0,6.1
11,A,2829158,268435456,0,2.2
11,B,8222328,268435456,0,6.1
12,A,2821445,268435456,0,2.2
12,B,8471615,268435456,0,6.2
13,A,2845585,268435456,0,2.2
13,B,8236568,268435456,0,6.1
14,A,2835735,268435456,0,2.2
14,B,8297970,268435456,0,6.1
15,A,2860282,268435456,0,2.2
15,B,8250280,268435456,0,6.1
16,A,2827738,268435456,0,2.2
16,B,8336021,268435456,0,6.1
17,A,2822918,268435456,0,2.2
17,B,8301041,268435456,0,6.1
18,A,2857733,268435456,0,2.2
18,B,8343005,268435456,0,6.0
19,A,2829660,268435456,0,2.2
19,B,8226950,268435456,0,6.1
20,A,2850377,268435456,0,2.2
20,B,8218872,268435456,0,6.0
21,A,2894316,268435456,0,2.2
21,B,8388867,268435456,0,6.1
22,A,2836874,268435456,0,2.2
22,B,8256397,268435456,0,6.1
23,A,2901700,268435456,0,2.2
23,B,8252361,268435456,0,6.0
24,A,2845914,268435456,0,2.2
24,B,8236447,268435456,0,6.1
25,A,2861139,268435456,0,2.2
25,B,8265613,268435456,0,6.1
26,A,2845668,268435456,0,2.2
26,B,8237053,268435456,0,6.0
27,A,2832958,268435456,0,2.1
27,B,8266121,268435456,0,6.1
28,A,2865956,268435456,0,2.2
28,B,8266788,268435456,0,6.1
29,A,2862923,268435456,0,2.2
29,B,8227335,268435456,0,6.0
30,A,2897357,268435456,0,2.2
30,B,8301457,268435456,0,6.0
31,A,2853854,268435456,0,2.2
31,B,8460313,268435456,0,6.1
